Table Number,Table Name,Code,Shortened Description
Table 5.11,Cardiac Surgery,35.13,OPN PULMON VALVULOPLASTY
Table 5.11,Cardiac Surgery,35.14,OPN TRICUS VALVULOPLASTY
Table 5.11,Cardiac Surgery,35.20,OPN/OTH REP HRT VLV NOS
Table 5.11,Cardiac Surgery,35.21,OPN/OTH REP AORT VLV-TIS
Table 5.11,Cardiac Surgery,35.22,OPN/OTH REP AORTIC VALVE
Table 5.11,Cardiac Surgery,35.23,OPN/OTH REP MTRL VLV-TIS
Table 5.11,Cardiac Surgery,35.24,OPN/OTH REP MITRAL VALVE
Table 5.11,Cardiac Surgery,35.25,OPN/OTH REP PULM VLV-TIS
Table 5.11,Cardiac Surgery,35.26,OPN/OTH REPL PUL VALVE
Table 5.11,Cardiac Surgery,35.27,OPN/OTH REP TCSPD VLV-TS
Table 5.11,Cardiac Surgery,35.28,OPN/OTH REPL TCSPD VALVE
Table 5.11,Cardiac Surgery,35.31,PAPILLARY MUSCLE OPS
Table 5.11,Cardiac Surgery,35.32,CHORDAE TENDINEAE OPS
Table 5.11,Cardiac Surgery,35.33,ANNULOPLASTY
Table 5.11,Cardiac Surgery,35.34,INFUNDIBULECTOMY
Table 5.11,Cardiac Surgery,35.35,TRABECUL CARNEAE CORD OP
Table 5.11,Cardiac Surgery,35.39,TISS ADJ TO VALV OPS NEC
Table 5.11,Cardiac Surgery,35.42,CREATE SEPTAL DEFECT
Table 5.11,Cardiac Surgery,35.50,PROSTH REP HRT SEPTA NOS
Table 5.11,Cardiac Surgery,35.51,PROS REP ATRIAL DEF-OPN
Table 5.11,Cardiac Surgery,35.53, PROS REP VENTRIC DEF-OPN
Table 5.11,Cardiac Surgery,35.54,PROS REP ENDOCAR CUSHION
Table 5.11,Cardiac Surgery,35.60,GRFT REPAIR HRT SEPT NOS
Table 5.11,Cardiac Surgery,35.61,GRAFT REPAIR ATRIAL DEF
Table 5.11,Cardiac Surgery,35.62,GRAFT REPAIR VENTRIC DEF
Table 5.11,Cardiac Surgery,35.63,GRFT REP ENDOCAR CUSHION
Table 5.11,Cardiac Surgery,35.70,HEART SEPTA REPAIR NOS
Table 5.11,Cardiac Surgery,35.71,ATRIA SEPTA DEF REP NEC
Table 5.11,Cardiac Surgery,35.72,VENTR SEPTA DEF REP NEC
Table 5.11,Cardiac Surgery,35.73,ENDOCAR CUSHION REP NEC
Table 5.11,Cardiac Surgery,35.81,TOT REPAIR TETRAL FALLOT
Table 5.11,Cardiac Surgery,35.82,TOTAL REPAIR OF TAPVC
Table 5.11,Cardiac Surgery,35.83,TOT REP TRUNCUS ARTERIOS
Table 5.11,Cardiac Surgery,35.84,TOT COR TRANSPOS GRT VES
Table 5.11,Cardiac Surgery,35.91,INTERAT VEN RETRN TRANSP
Table 5.11,Cardiac Surgery,35.92,CONDUIT RT VENT-PUL ART
Table 5.11,Cardiac Surgery,35.93,CONDUIT LEFT VENTR-AORTA
Table 5.11,Cardiac Surgery,35.94,CONDUIT ARTIUM-PULM ART
Table 5.11,Cardiac Surgery,35.98,OTHER HEART SEPTA OPS
Table 5.11,Cardiac Surgery,35.99,OTHER HEART VALVE OPS
Table 5.11,Cardiac Surgery,36.03,OPEN CORONRY ANGIOPLASTY
Table 5.11,Cardiac Surgery,36.10,AORTOCORONARY BYPASS NOS
Table 5.11,Cardiac Surgery,36.11,AORTOCOR BYPAS-1 COR ART
Table 5.11,Cardiac Surgery,36.12,AORTOCOR BYPAS-2 COR ART
Table 5.11,Cardiac Surgery,36.13,AORTOCOR BYPAS-3 COR ART
Table 5.11,Cardiac Surgery,36.14,AORTCOR BYPAS-4+ COR ART
Table 5.11,Cardiac Surgery,36.15,1 INT MAM-COR ART BYPASS
Table 5.11,Cardiac Surgery,36.16,2 INT MAM-COR ART BYPASS
Table 5.11,Cardiac Surgery,36.17,ABD-CORON ARTERY BYPASS
Table 5.11,Cardiac Surgery,36.19,HRT REVAS BYPS ANAS NEC
Table 5.11,Cardiac Surgery,36.31,OPEN CHEST TRANS REVASC
Table 5.11,Cardiac Surgery,36.91,CORON VESS ANEURYSM REP
Table 5.11,Cardiac Surgery,36.99,HEART VESSEL OP NEC
Table 5.11,Cardiac Surgery,37.10,INCISION OF HEART NOS
Table 5.11,Cardiac Surgery,37.11,CARDIOTOMY
Table 5.11,Cardiac Surgery,37.32,HEART ANEURYSM EXCISION
Table 5.11,Cardiac Surgery,37.33,EXC/DEST HRT LESION OPEN
Table 5.11,Cardiac Surgery,37.36,"EXC, DESTRCT, EXCLUS LAA"
Table 5.11,Cardiac Surgery,37.41,IMPL CARDIAC SUPPORT DEV
Table 5.11,Cardiac Surgery,37.49,HEART/PERICARD REPR NEC
Table 5.11,Cardiac Surgery,37.55,REM INT BIVENT HRT SYS
Table 5.11,Cardiac Surgery,37.60,IMP BIVN EXT HRT AST SYS
Table 5.11,Cardiac Surgery,37.62,INSRT NON-IMPL CIRC DEV
Table 5.11,Cardiac Surgery,37.63,REPAIR HEART ASSIST SYS
Table 5.11,Cardiac Surgery,37.64,REMVE EXT HRT ASSIST SYS
Table 5.11,Cardiac Surgery,37.66,IMPLANTABLE HRT ASSIST
Table 5.11,Cardiac Surgery,37.67,IMP CARDIOMYOSTIMUL SYS
Table 5.13,Hip Fractures,733.10,PATH FX UNSPECIFIED SITE
Table 5.13,Hip Fractures,733.14,PATH FX NECK OF FEMUR
Table 5.13,Hip Fractures,733.15,PATH FX OTH SPCF PRT FMR
Table 5.13,Hip Fractures,808.0,FRACTURE ACETABULUM-CLOS
Table 5.13,Hip Fractures,808.1,FRACTURE ACETABULUM-OPEN
Table 5.13,Hip Fractures,808.2,FRACTURE OF PUBIS-CLOSED
Table 5.13,Hip Fractures,808.3,FRACTURE OF PUBIS-OPEN
Table 5.13,Hip Fractures,808.41,FRACTURE OF ILIUM-CLOSED
Table 5.13,Hip Fractures,808.42,FRACTURE ISCHIUM-CLOSED
Table 5.13,Hip Fractures,808.43,PELV FX-CLOS/PELV DISRUP
Table 5.13,Hip Fractures,808.49 ,PELVIC FRACTURE NEC-CLOS
Table 5.13,Hip Fractures,808.51,FRACTURE OF ILIUM-OPEN
Table 5.13,Hip Fractures,808.52,FRACTURE OF ISCHIUM-OPEN
Table 5.13,Hip Fractures,808.53,PELV FX-OPEN/PELV DISRUP
Table 5.13,Hip Fractures,808.59,PELVIC FRACTURE NEC-OPEN
Table 5.13,Hip Fractures,808.8,PELVIC FRACTURE NOS-CLOS
Table 5.13,Hip Fractures,808.9,PELVIC FRACTURE NOS-OPEN
Table 5.13,Hip Fractures,820.00,FX FEMUR INTRCAPS NOS-CL
Table 5.13,Hip Fractures,820.01,FX UP FEMUR EPIPHY-CLOS
Table 5.13,Hip Fractures,820.02,"FX FEMUR, MIDCERVIC-CLOS"
Table 5.13,Hip Fractures,820.03,FX BASE FEMORAL NCK-CLOS
Table 5.13,Hip Fractures,820.09,FX FEMUR INTRCAPS NEC-CL
Table 5.13,Hip Fractures,820.10,FX FEMUR INTRCAP NOS-OPN
Table 5.13,Hip Fractures,820.11,FX UP FEMUR EPIPHY-OPEN
Table 5.13,Hip Fractures,820.12,"FX FEMUR, MIDCERVIC-OPEN"
Table 5.13,Hip Fractures,820.13,FX BASE FEMORAL NCK-OPEN
Table 5.13,Hip Fractures,820.19,FX FEMUR INTRCAP NEC-OPN
Table 5.13,Hip Fractures,820.20,TROCHANTERIC FX NOS-CLOS
Table 5.13,Hip Fractures,820.21,INTERTROCHANTERIC FX-CL
Table 5.13,Hip Fractures,820.22,SUBTROCHANTERIC FX-CLOSE
Table 5.13,Hip Fractures,820.30,TROCHANTERIC FX NOS-OPEN
Table 5.13,Hip Fractures,820.31,INTERTROCHANTERIC FX-OPN
Table 5.13,Hip Fractures,820.32,SUBTROCHANTERIC FX-OPEN
Table 5.13,Hip Fractures,820.8,FX NECK OF FEMUR NOS-CL
Table 5.13,Hip Fractures,820.9,FX NECK OF FEMUR NOS-OPN
Table 5.13,Hip Fractures,821.00,FX FEMUR NOS-CLOSED
Table 5.13,Hip Fractures,821.01,FX FEMUR SHAFT-CLOSED
Table 5.13,Hip Fractures,821.10,FX FEMUR NOS-OPEN
Table 5.13,Hip Fractures,821.11,FX FEMUR SHAFT-OPEN
Table 5.14,Burns,692.71,SUNBURN
Table 5.14,Burns,692.76,2ND DEGREE SUNBURN
Table 5.14,Burns,692.77,3RD DEGREE SUNBURN
Table 5.14,Burns,692.82,DERMATITIS OTH RADIATION
Table 5.14,Burns,782.0,SKIN SENSATION DISTURB
Table 5.14,Burns,906.5,LATE EFF HEAD/NECK BURN
Table 5.14,Burns,906.6,LATE EFF WRIST/HAND BURN
Table 5.14,Burns,906.7,LATE EFF BURN EXTREM NEC
Table 5.14,Burns,906.8,LATE EFFECT OF BURNS NEC
Table 5.14,Burns,906.9,LATE EFFECT OF BURN NOS
Table 5.14,Burns,910.0,ABRASION HEAD
Table 5.14,Burns,910.1,ABRASION HEAD-INFECTED
Table 5.14,Burns,911.0,ABRASION TRUNK
Table 5.14,Burns,911.1,ABRASION TRUNK-INFECTED
Table 5.14,Burns,912.0,ABRASION SHOULDER/ARM
Table 5.14,Burns,912.1,ABRASION SHLDR/ARM-INFEC
Table 5.14,Burns,913.0,ABRASION FOREARM
Table 5.14,Burns,913.1,ABRASION FOREARM-INFECT
Table 5.14,Burns,914.0,ABRASION HAND
Table 5.14,Burns,914.1,ABRASION HAND-INFECTED
Table 5.14,Burns,915.0,ABRASION FINGER
Table 5.14,Burns,915.1,ABRASION FINGER-INFECTED
Table 5.14,Burns,916.0,ABRASION HIP & LEG
Table 5.14,Burns,916.1,ABRASION HIP/LEG-INFECT
Table 5.14,Burns,917.0,ABRASION FOOT & TOE
Table 5.14,Burns,917.1,ABRASION FOOT/TOE-INFEC
Table 5.14,Burns,919.0,ABRASION NEC
Table 5.14,Burns,919.1,ABRASION NEC-INFECTED
Table 5.14,Burns,940.0,CHEMICAL BURN PERIOCULAR
Table 5.14,Burns,940.1,BURN PERIOCULAR AREA NEC
Table 5.14,Burns,940.2,ALKAL BURN CORNEA/CONJUN
Table 5.14,Burns,940.3,ACID BURN CORNEA/CONJUNC
Table 5.14,Burns,940.4,BURN CORNEA/CONJUNCT NEC
Table 5.14,Burns,940.5,BURN W EYEBALL DESTRUCT
Table 5.14,Burns,940.9,BURN EYE & ADNEXA NOS
Table 5.14,Burns,941.00,BURN NOS HEAD-UNSPEC
Table 5.14,Burns,941.01,BURN NOS EAR
Table 5.14,Burns,941.02,BURN NOS EYE
Table 5.14,Burns,941.03,BURN NOS LIP
Table 5.14,Burns,941.04,BURN NOS CHIN
Table 5.14,Burns,941.05,BURN NOS NOSE
Table 5.14,Burns,941.06,BURN NOS SCALP
Table 5.14,Burns,941.07,BURN NOS FACE NEC
Table 5.14,Burns,941.08,BURN NOS NECK
Table 5.14,Burns,941.09,BURN NOS HEAD-MULT
Table 5.14,Burns,941.10,1ST DEG BURN HEAD NOS
Table 5.14,Burns,941.11,1ST DEG BURN EAR
Table 5.14,Burns,941.12,1ST DEG BURN EYE
Table 5.14,Burns,941.13,1ST DEG BURN LIP
Table 5.14,Burns,941.14,1ST DEG BURN CHIN
Table 5.14,Burns,941.15,1ST DEG BURN NOSE
Table 5.14,Burns,941.16,1ST DEG BURN SCALP
Table 5.14,Burns,941.17,1ST DEG BURN FACE NEC
Table 5.14,Burns,941.18,1ST DEG BURN NECK
Table 5.14,Burns,941.19,1ST DEG BURN HEAD-MULT
Table 5.14,Burns,941.20,2ND DEG BURN HEAD NOS
Table 5.14,Burns,941.21,2ND DEG BURN EAR
Table 5.14,Burns,941.22,2ND DEG BURN EYE
Table 5.14,Burns,941.23,2ND DEG BURN LIP
Table 5.14,Burns,941.24,2ND DEG BURN CHIN
Table 5.14,Burns,941.25,2ND DEG BURN NOSE
Table 5.14,Burns,941.26,2ND DEG BURN SCALP
Table 5.14,Burns,941.27,2ND DEG BURN FACE NEC
Table 5.14,Burns,941.28,2ND DEG BURN NECK
Table 5.14,Burns,941.29,2ND DEG BURN HEAD-MULT
Table 5.14,Burns,941.30,3RD DEG BURN HEAD NOS
Table 5.14,Burns,941.31,3RD DEG BURN EAR
Table 5.14,Burns,941.32,3RD DEG BURN EYE
Table 5.14,Burns,941.33,3RD DEG BURN LIP
Table 5.14,Burns,941.34,3RD DEG BURN CHIN
Table 5.14,Burns,941.35,3RD DEG BURN NOSE
Table 5.14,Burns,941.36,3RD DEG BURN SCALP
Table 5.14,Burns,941.37,3RD DEG BURN FACE NEC
Table 5.14,Burns,941.38,3RD DEG BURN NECK
Table 5.14,Burns,941.39,3RD DEG BURN HEAD-MULT
Table 5.14,Burns,941.40,DEEP 3 DEG BURN HEAD NOS
Table 5.14,Burns,941.41,DEEP 3RD DEG BURN EAR
Table 5.14,Burns,941.42,DEEP 3RD DEG BURN EYE
Table 5.14,Burns,941.43,DEEP 3RD DEG BURN LIP
Table 5.14,Burns,941.44,DEEP 3RD DEG BURN CHIN
Table 5.14,Burns,941.45,DEEP 3RD DEG BURN NOSE
Table 5.14,Burns,941.46,DEEP 3RD DEG BURN SCALP
Table 5.14,Burns,941.47,DEEP 3RD BURN FACE NEC
Table 5.14,Burns,941.48,DEEP 3RD DEG BURN NECK
Table 5.14,Burns,941.49,DEEP 3 DEG BRN HEAD-MULT
Table 5.14,Burns,941.50,3RD BURN W LOSS-HEAD NOS
Table 5.14,Burns,941.51,3RD DEG BURN W LOSS-EAR
Table 5.14,Burns,941.52,3RD DEG BURN W LOSS-EYE
Table 5.14,Burns,941.53,3RD DEG BURN W LOSS-LIP
Table 5.14,Burns,941.54,3RD DEG BURN W LOSS-CHIN
Table 5.14,Burns,941.55,3RD DEG BURN W LOSS-NOSE
Table 5.14,Burns,941.56,3RD DEG BRN W LOSS-SCALP
Table 5.14,Burns,941.57,3RD BURN W LOSS-FACE NEC
Table 5.14,Burns,941.58,3RD DEG BURN W LOSS-NECK
Table 5.14,Burns,941.59,3RD BRN W LOSS-HEAD MULT
Table 5.14,Burns,942.00,BURN NOS TRUNK-UNSPEC
Table 5.14,Burns,942.01,BURN NOS BREAST
Table 5.14,Burns,942.02,BURN NOS CHEST WALL
Table 5.14,Burns,942.03,BURN NOS ABDOMINAL WALL
Table 5.14,Burns,942.04,BURN NOS BACK
Table 5.14,Burns,942.05,BURN NOS GENITALIA
Table 5.14,Burns,942.09,BURN NOS TRUNK NEC
Table 5.14,Burns,942.10,1ST DEG BURN TRUNK NOS
Table 5.14,Burns,942.11,1ST DEG BURN BREAST
Table 5.14,Burns,942.12,1ST DEG BURN CHEST WALL
Table 5.14,Burns,942.13,1ST DEG BURN ABDOMN WALL
Table 5.14,Burns,942.14,1ST DEG BURN BACK
Table 5.14,Burns,942.15,1ST DEG BURN GENTALIA
Table 5.14,Burns,942.19,1ST DEG BURN TRUNK NEC
Table 5.14,Burns,942.20,2ND DEG BURN TRUNK NOS
Table 5.14,Burns,942.21,2ND DEG BURN BREAST
Table 5.14,Burns,942.22,2ND DEG BURN CHEST WALL
Table 5.14,Burns,942.23,2ND DEG BURN ABDOMN WALL
Table 5.14,Burns,942.24,2ND DEG BURN BACK
Table 5.14,Burns,942.25,2ND DEG BURN GENITALIA
Table 5.14,Burns,942.29,2ND DEG BURN TRUNK NEC
Table 5.14,Burns,942.30,3RD DEG BURN TRUNK NOS
Table 5.14,Burns,942.31,3RD DEG BURN BREAST
Table 5.14,Burns,942.32,3RD DEG BURN CHEST WALL
Table 5.14,Burns,942.33,3RD DEG BURN ABDOMN WALL
Table 5.14,Burns,942.34,3RD DEG BURN BACK
Table 5.14,Burns,942.35,3RD DEG BURN GENITALIA
Table 5.14,Burns,942.39,3RD DEG BURN TRUNK NEC
Table 5.14,Burns,942.40,DEEP 3RD BURN TRUNK NOS
Table 5.14,Burns,942.41,DEEP 3RD DEG BURN BREAST
Table 5.14,Burns,942.42,DEEP 3RD BURN CHEST WALL
Table 5.14,Burns,942.43,DEEP 3RD BURN ABDOM WALL
Table 5.14,Burns,942.44,DEEP 3RD DEG BURN BACK
Table 5.14,Burns,942.45,DEEP 3RD BURN GENITALIA
Table 5.14,Burns,942.49,DEEP 3RD BURN TRUNK NEC
Table 5.14,Burns,942.50,3RD BRN W LOSS-TRUNK NOS
Table 5.14,Burns,942.51,3RD BURN W LOSS-BREAST
Table 5.14,Burns,942.52,3RD BRN W LOSS-CHEST WLL
Table 5.14,Burns,942.53,3RD BRN W LOSS-ABDOM WLL
Table 5.14,Burns,942.54,3RD DEG BURN W LOSS-BACK
Table 5.14,Burns,942.55,3RD BRN W LOSS-GENITALIA
Table 5.14,Burns,942.59,3RD BRN W LOSS-TRUNK NEC
Table 5.14,Burns,943.00,BURN NOS ARM-UNSPEC
Table 5.14,Burns,943.01,BURN NOS FOREARM
Table 5.14,Burns,943.02,BURN NOS ELBOW
Table 5.14,Burns,943.03,BURN NOS UPPER ARM
Table 5.14,Burns,943.04,BURN NOS AXILLA
Table 5.14,Burns,943.05,BURN NOS SHOULDER
Table 5.14,Burns,943.06,BURN NOS SCAPULA
Table 5.14,Burns,943.09,BURN NOS ARM-MULTIPLE
Table 5.14,Burns,943.10,1ST DEG BURN ARM NOS
Table 5.14,Burns,943.11,1ST DEG BURN FOREARM
Table 5.14,Burns,943.12,1ST DEG BURN ELBOW
Table 5.14,Burns,943.13,1ST DEG BURN UPPER ARM
Table 5.14,Burns,943.14,1ST DEG BURN AXILLA
Table 5.14,Burns,943.15,1ST DEG BURN SHOULDER
Table 5.14,Burns,943.16,1ST DEG BURN SCAPULA
Table 5.14,Burns,943.19,1ST DEG BURN ARM-MULT
Table 5.14,Burns,943.20,2ND DEG BURN ARM NOS
Table 5.14,Burns,943.21,2ND DEG BURN FOREARM
Table 5.14,Burns,943.22,2ND DEG BURN ELBOW
Table 5.14,Burns,943.23,2ND DEG BURN UPPER ARM
Table 5.14,Burns,943.24,2ND DEG BURN AXILLA
Table 5.14,Burns,943.25,2ND DEG BURN SHOULDER
Table 5.14,Burns,943.26,2ND DEG BURN SCAPULA
Table 5.14,Burns,943.29,2ND DEG BURN ARM-MULT
Table 5.14,Burns,943.30,3RD DEG BURN ARM NOS
Table 5.14,Burns,943.31,3RD DEG BURN FOREARM
Table 5.14,Burns,943.32,3RD DEG BURN ELBOW
Table 5.14,Burns,943.33,3RD DEG BURN UPPER ARM
Table 5.14,Burns,943.34,3RD DEG BURN AXILLA
Table 5.14,Burns,943.35,3RD DEG BURN SHOULDER
Table 5.14,Burns,943.36,3RD DEG BURN SCAPULA
Table 5.14,Burns,943.39,3RD DEG BURN ARM-MULT
Table 5.14,Burns,943.40,DEEP 3 DEG BURN ARM NOS
Table 5.14,Burns,943.41,DEEP 3 DEG BURN FOREARM
Table 5.14,Burns,943.42,DEEP 3 DEG BURN ELBOW
Table 5.14,Burns,943.43,DEEP 3 DEG BRN UPPER ARM
Table 5.14,Burns,943.44,DEEP 3 DEG BURN AXILLA
Table 5.14,Burns,943.45,DEEP 3 DEG BURN SHOULDER
Table 5.14,Burns,943.46,DEEP 3 DEG BURN SCAPULA
Table 5.14,Burns,943.49,DEEP 3 DEG BURN ARM-MULT
Table 5.14,Burns,943.50,3RD BURN W LOSS-ARM NOS
Table 5.14,Burns,943.51,3RD BURN W LOSS-FOREARM
Table 5.14,Burns,943.52,3RD BURN W LOSS-ELBOW
Table 5.14,Burns,943.53,3RD BRN W LOSS-UPPER ARM
Table 5.14,Burns,943.54,3RD BURN W LOSS-AXILLA
Table 5.14,Burns,943.55,3RD BURN W LOSS-SHOULDER
Table 5.14,Burns,943.56,3RD BURN W LOSS-SCAPULA
Table 5.14,Burns,943.59,3RD BURN W LOSS-ARM MULT
Table 5.14,Burns,944.00,BURN NOS HAND-UNSPEC
Table 5.14,Burns,944.01,BURN NOS FINGER
Table 5.14,Burns,944.02,BURN NOS THUMB
Table 5.14,Burns,944.03,BURN NOS MULT FINGERS
Table 5.14,Burns,944.04,BURN NOS FINGER W THUMB
Table 5.14,Burns,944.05,BURN NOS PALM
Table 5.14,Burns,944.06,BURN NOS BACK OF HAND
Table 5.14,Burns,944.07,BURN NOS WRIST
Table 5.14,Burns,944.08,BURN NOS HAND-MULTIPLE
Table 5.14,Burns,944.10,1ST DEG BURN HAND NOS
Table 5.14,Burns,944.11,1ST DEG BURN FINGER
Table 5.14,Burns,944.12,1ST DEG BURN THUMB
Table 5.14,Burns,944.13,1ST DEG BURN MULT FINGER
Table 5.14,Burns,944.14,1 DEG BURN FINGR W THUMB
Table 5.14,Burns,944.15,1ST DEG BURN PALM
Table 5.14,Burns,944.16,1 DEG BURN BACK OF HAND
Table 5.14,Burns,944.17,1ST DEG BURN WRIST
Table 5.14,Burns,944.18,1ST DEG BURN HAND-MULT
Table 5.14,Burns,944.20,2ND DEG BURN HAND NOS
Table 5.14,Burns,944.21,2ND DEG BURN FINGER
Table 5.14,Burns,944.22,2ND DEG BURN THUMB
Table 5.14,Burns,944.23,2ND DEG BURN MULT FINGER
Table 5.14,Burns,944.24,2 DEG BURN FINGR W THUMB
Table 5.14,Burns,944.25,2ND DEG BURN PALM
Table 5.14,Burns,944.26,2 DEG BURN BACK OF HAND
Table 5.14,Burns,944.27,2ND DEG BURN WRIST
Table 5.14,Burns,944.28,2ND DEG BURN HAND-MULT
Table 5.14,Burns,944.30,3RD DEG BURN HAND NOS
Table 5.14,Burns,944.31,3RD DEG BURN FINGER
Table 5.14,Burns,944.32,3RD DEG BURN THUMB
Table 5.14,Burns,944.33,3RD DEG BURN MULT FINGER
Table 5.14,Burns,944.34,3 DEG BURN FINGR W THUMB
Table 5.14,Burns,944.35,3RD DEG BURN PALM
Table 5.14,Burns,944.36,3 DEG BURN BACK OF HAND
Table 5.14,Burns,944.37,3RD DEG BURN WRIST
Table 5.14,Burns,944.38,3RD DEG BURN HAND-MULT
Table 5.14,Burns,944.40,DEEP 3 DEG BRN HAND NOS
Table 5.14,Burns,944.41,DEEP 3 DEG BURN FINGER
Table 5.14,Burns,944.42,DEEP 3 DEG BURN THUMB
Table 5.14,Burns,944.43,DEEP 3RD BRN MULT FINGER
Table 5.14,Burns,944.44,DEEP 3RD BRN FNGR W THMB
Table 5.14,Burns,944.45,DEEP 3 DEG BURN PALM
Table 5.14,Burns,944.46,DEEP 3RD BRN BACK OF HND
Table 5.14,Burns,944.47,DEEP 3 DEG BURN WRIST
Table 5.14,Burns,944.48,DEEP 3 DEG BRN HAND-MULT
Table 5.14,Burns,944.50,3RD BRN W LOSS-HAND NOS
Table 5.14,Burns,944.51,3RD BURN W LOSS-FINGER
Table 5.14,Burns,944.52,3RD BURN W LOSS-THUMB
Table 5.14,Burns,944.53,3RD BRN W LOSS-MULT FNGR
Table 5.14,Burns,944.54,3RD BRN W LOSS-FNGR/THMB
Table 5.14,Burns,944.55,3RD BURN W LOSS-PALM
Table 5.14,Burns,944.56,3RD BRN W LOSS-BK OF HND
Table 5.14,Burns,944.57,3RD BURN W LOSS-WRIST
Table 5.14,Burns,944.58,3RD BRN W LOSS HAND-MULT
Table 5.14,Burns,945.00,BURN NOS LEG-UNSPEC
Table 5.14,Burns,945.01,BURN NOS TOE
Table 5.14,Burns,945.02,BURN NOS FOOT
Table 5.14,Burns,945.03,BURN NOS ANKLE
Table 5.14,Burns,945.04,BURN NOS LOWER LEG
Table 5.14,Burns,945.05,BURN NOS KNEE
Table 5.14,Burns,945.06,BURN NOS THIGH
Table 5.14,Burns,945.09,BURN NOS LEG-MULTIPLE
Table 5.14,Burns,945.10,1ST DEG BURN LEG NOS
Table 5.14,Burns,945.11,1ST DEG BURN TOE
Table 5.14,Burns,945.12,1ST DEG BURN FOOT
Table 5.14,Burns,945.13,1ST DEG BURN ANKLE
Table 5.14,Burns,945.14,1ST DEG BURN LOWER LEG
Table 5.14,Burns,945.15,1ST DEG BURN KNEE
Table 5.14,Burns,945.16,1ST DEG BURN THIGH
Table 5.14,Burns,945.19,1ST DEG BURN LEG-MULT
Table 5.14,Burns,945.20,2ND DEG BURN LEG NOS
Table 5.14,Burns,945.21,2ND DEG BURN TOE
Table 5.14,Burns,945.22,2ND DEG BURN FOOT
Table 5.14,Burns,945.23,2ND DEG BURN ANKLE
Table 5.14,Burns,945.24,2ND DEG BURN LOWER LEG
Table 5.14,Burns,945.25,2ND DEG BURN KNEE
Table 5.14,Burns,945.26,2ND DEG BURN THIGH
Table 5.14,Burns,945.29,2ND DEG BURN LEG-MULT
Table 5.14,Burns,945.30,3RD DEG BURN LEG NOS
Table 5.14,Burns,945.31,3RD DEG BURN TOE
Table 5.14,Burns,945.32,3RD DEG BURN FOOT
Table 5.14,Burns,945.33,3RD DEG BURN ANKLE
Table 5.14,Burns,945.34,3RD DEG BURN LOW LEG
Table 5.14,Burns,945.35,3RD DEG BURN KNEE
Table 5.14,Burns,945.36,3RD DEG BURN THIGH
Table 5.14,Burns,945.39,3RD DEG BURN LEG-MULT
Table 5.14,Burns,945.40,DEEP 3RD DEG BRN LEG NOS
Table 5.14,Burns,945.41,DEEP 3RD DEG BURN TOE
Table 5.14,Burns,945.42,DEEP 3RD DEG BURN FOOT
Table 5.14,Burns,945.43,DEEP 3RD DEG BURN ANKLE
Table 5.14,Burns,945.44,DEEP 3RD DEG BRN LOW LEG
Table 5.14,Burns,945.45,DEEP 3RD DEG BURN KNEE
Table 5.14,Burns,945.46,DEEP 3RD DEG BURN THIGH
Table 5.14,Burns,945.49,DEEP 3 DEG BURN LEG-MULT
Table 5.14,Burns,945.50,3 DEG BRN W LOSS-LEG NOS
Table 5.14,Burns,945.51,3 DEG BURN W LOSS-TOE
Table 5.14,Burns,945.52,3 DEG BURN W LOSS-FOOT
Table 5.14,Burns,945.53,3 DEG BURN W LOSS-ANKLE
Table 5.14,Burns,945.54,3 DEG BRN W LOSS-LOW LEG
Table 5.14,Burns,945.55,3 DEG BURN W LOSS-KNEE
Table 5.14,Burns,945.56,3 DEG BURN W LOSS-THIGH
Table 5.14,Burns,945.59,3 DEG BRN W LOSS LEG-MLT
Table 5.14,Burns,946.0,BURN NOS MULTIPLE SITE
Table 5.14,Burns,946.1,1ST DEG BURN MULT SITE
Table 5.14,Burns,946.2,2ND DEG BURN MULT SITE
Table 5.14,Burns,946.3,3RD DEG BURN MULT SITE
Table 5.14,Burns,946.4,DEEP 3 DEG BRN MULT SITE
Table 5.14,Burns,946.5,3RD BRN W LOSS-MULT SITE
Table 5.14,Burns,947.8,BURN INTERNAL ORGAN NEC
Table 5.14,Burns,947.9,BURN INTERNAL ORGAN NOS
Table 5.14,Burns,948.00,BDY BRN < 10%/3D DEG NOS
Table 5.14,Burns,948.10,10-19% BDY BRN/3 DEG NOS
Table 5.14,Burns,948.11,10-19% BDY BRN/10-19% 3D
Table 5.14,Burns,948.20,20-29% BDY BRN/3 DEG NOS
Table 5.14,Burns,948.21,20-29% BDY BRN/10-19% 3D
Table 5.14,Burns,948.22,20-29% BDY BRN/20-29% 3D
Table 5.14,Burns,948.30,30-39% BDY BRN/3 DEG NOS
Table 5.14,Burns,948.31,30-39% BDY BRN/10-19% 3D
Table 5.14,Burns,948.32,30-39% BDY BRN/20-29% 3D
Table 5.14,Burns,948.33,30-39% BDY BRN/30-39% 3D
Table 5.14,Burns,948.40,40-49% BDY BRN/3 DEG NOS
Table 5.14,Burns,948.41,40-49% BDY BRN/10-19% 3D
Table 5.14,Burns,948.42,40-49% BDY BRN/20-29% 3D
Table 5.14,Burns,948.43,40-49% BDY BRN/30-39% 3D
Table 5.14,Burns,948.44,40-49% BDY BRN/40-49% 3D
Table 5.14,Burns,948.50,50-59% BDY BRN/3 DEG NOS
Table 5.14,Burns,948.51,50-59% BDY BRN/10-19% 3D
Table 5.14,Burns,948.52,50-59% BDY BRN/20-29% 3D
